time_index,year,month,region,co2_ppm,temperature_anomaly,rainfall_mm,humidity_pct,enso_index,volcanic_activity,ocean_heat_index
0,2045,7,India-Chennai,421.55119250737835,-0.7370298343968904,53.91862533367275,51.99742005742817,-0.44415511418813836,2.665478695758234,3.059197499365215
1,2028,6,India-Mumbai,421.0458622805434,-1.8190168884834153,194.41213167642536,69.17961860098788,-1.9576284993741568,4.4996164025745475,3.5728300933756274
2,2042,1,India-Kolkata,386.38437351856453,-0.9233473710922864,255.91297341847758,70.68127815645639,1.362285247947737,1.8625309059387463,1.7970437909368702
3,2040,11,India-Mumbai,400.8396641630125,4.997666761811332,208.15568169117233,34.91138263608996,0.7793187427413848,3.3770225380037084,4.793980173126161
4,2026,9,India-Gujrat,444.33837415761184,1.0406981677055054,113.9709711640361,43.96994171226703,-0.36071947648303526,0.7746365459833943,0.871948055147404
5,2035,7,India-Delhi,415.3753312474255,2.6625519169294574,387.98533472230554,45.150852782079966,-1.5797164208881718,1.7524589737108442,4.227128825916121
6,2037,1,India-Chennai,402.2476310587041,-1.3902343920789706,385.832109222972,72.40216760248461,-0.8556669409586815,2.707799025152546,2.1813188058429267
7,2041,7,USA-Texas,407.1750585352482,4.558032021901054,477.138475464907,57.65590505145131,-1.8865329488406433,1.9035231022244403,1.168593996378685
8,2034,10,USA-Texas,393.86874389254507,0.21788244522441458,225.5918734679169,61.04369111048872,1.7236106987215938,2.689950236348699,0.587579756062509
9,2032,1,UAE-Dubai,445.0392128493363,-1.3118521171932453,247.1182791129084,89.10048822888328,-0.5383271169623209,2.1633104789309456,2.0282767741218333
10,2030,7,China-Beijing,414.8000874943619,2.834500100025929,3.3021587835181943,73.77307326271813,0.31613859177614945,4.148783671725461,1.4938283282362574
11,2031,9,UAE-Dubai,435.35939953122454,-0.7871220712802862,6.457930427873793,81.96903933661753,0.10828430966527813,4.207554817068266,2.2445208263654397
12,2043,7,India-Kolkata,414.5014658094224,4.573612823721565,283.32120238358186,48.6466214707399,0.43877630497391173,3.7800587622905146,2.894250167418171
13,2030,5,India-Mumbai,436.2506172716702,-0.18826851531805855,206.5160361378468,70.20956141477589,0.043330163909988784,3.462251394180271,4.867349981409637
14,2035,12,India-Gujrat,447.7275916766748,-0.653968180729555,377.0168262116101,50.43727193290326,-0.11276733087212332,1.5114003023463762,3.2535984565704195
15,2029,2,USA-Texas,432.64173168337356,-1.7313616948714867,271.9496978980489,38.82026509011083,-0.9369814680690478,2.693701661342414,1.175067820120893
16,2040,2,India-Mumbai,428.78573801830913,0.15970117492277414,42.78641494702284,37.34950144440699,-0.6630816491026748,0.6843083279707041,3.064521401081193
17,2039,1,India-Gujrat,420.77771708791335,4.1464661556932745,486.2496962886751,57.91597784779444,0.6955924090473422,1.0619460153997502,0.8743110049917885
18,2032,12,India-Chennai,383.2681674083596,2.189947743386907,351.6608344553934,32.02233341644077,-0.8299871902638065,4.089804137097482,1.042181557209808
19,2030,4,India-Chennai,400.26151021295266,1.4886171032481514,442.1621003875777,64.73440791042034,0.1908697673057227,4.829914139886235,0.07398226216657977
20,2028,4,UAE-Dubai,395.7612684643705,1.7015177399011643,418.49962334975555,63.03328638932193,1.8119715364331261,0.3920828273722998,1.4217225651820549
21,2045,9,UAE-Dubai,394.77895706385243,0.8609757787048982,182.35737299105554,52.32371821906068,-0.0011377179242297863,2.971036209244663,4.252862885547425
22,2041,12,USA-California,403.1905097739187,-0.49476399236319235,410.27294646427725,61.44171016966659,1.659369526865989,0.9756537330726334,2.18974962361089
23,2030,10,USA-Texas,399.89248874410714,1.9597311903364112,255.12413630641427,59.86586748178903,0.23394650019315444,2.547347773635886,4.052195311622823
24,2045,12,India-Delhi,415.7037355253194,2.0546634127578525,413.92657212034374,49.08580833332683,0.7607955007345164,3.126222292077205,4.9354634779332835
25,2032,6,China-Beijing,414.3670075253659,-0.2885877943631421,329.0661645286481,47.16297666016318,1.5727193087791602,4.36926510929967,2.938321896676943
26,2041,1,USA-Texas,427.8078795862137,2.775568104783808,403.7239047906434,60.18882752093805,-1.651593205195622,0.5246506766407855,1.435575790424572
27,2030,3,India-Gujrat,390.8497484341886,4.9505837175187395,211.95187933044056,81.7966145224658,-1.3491784746977342,4.1617437256144125,1.4809005664156132
28,2035,9,China-Beijing,401.8457865577342,-1.2321659199859392,242.8462871919453,44.31165099576369,-1.0018751697287924,3.196253861910876,2.4935841119362885
29,2043,9,UAE-Dubai,420.83455028557216,-0.8527955187514582,120.98953588343852,33.65152399876636,-1.746342873735586,3.371526691281754,2.50334908503263
30,2029,4,UAE-Dubai,392.4765734512851,3.573049979960909,248.99850322591755,42.456498233163565,0.5397959152543046,0.5009895440508821,4.8945120698408235
31,2044,5,UAE-Dubai,390.1029112179643,2.4083261713731856,29.70364110622914,63.366718739353416,1.9153841000150247,0.13531465134027199,4.175939922993878
32,2033,8,UAE-Dubai,433.66550020491024,2.3343572544198476,222.31638691098797,45.38888505601117,-0.12442198269085214,2.7528504023868794,1.1230486888597735
33,2033,9,India-Kolkata,415.5435067173923,3.1577654434992306,367.74261998102986,34.251102702899836,-1.1372552689732092,3.8984764333614788,4.909924756526005
